location,date,sample,density,quantity
greifensee_greifensee_simmenc,2018-01-31,7.0,6.66,353.0
greifensee_maur_simmenc,2017-04-29,1.0,0.93,40.0
greifensee_maur_simmenc,2017-05-31,2.0,3.698,159.0
greifensee_maur_simmenc,2017-06-30,3.0,3.14,135.0
greifensee_uster_fischerb_ 2,2017-04-21,1.0,2.08,52.0
greifensee_uster_fischerb_ 2,2017-05-28,2.0,2.4,60.0
greifensee_uster_fischerb_ 2,2017-06-19,3.0,3.44,86.0
greifensee_uster_fischerb_ 2,2017-07-24,4.0,6.04,151.0
greifensee_uster_fischerb_ 2,2017-08-30,5.0,0.56,14.0
greifensee_uster_fischerb_ 2,2017-09-25,6.0,1.28,32.0
greifensee_uster_fischerb_ 2,2017-10-19,7.0,0.84,21.0
greifensee_uster_fischerb_1,2017-04-21,1.0,1.806,65.0
greifensee_uster_fischerb_1,2017-05-28,2.0,1.056,38.0
greifensee_uster_fischerb_1,2017-06-19,3.0,3.083,111.0
greifensee_uster_fischerb_1,2017-07-24,4.0,7.083,255.0
greifensee_uster_fischerb_1,2017-08-30,5.0,1.139,41.0
greifensee_uster_fischerb_1,2017-09-25,6.0,0.25,9.0
greifensee_uster_fischerb_1,2017-10-19,7.0,0.806,29.0
Grendelbach_Effretikon_DamboneC,2017-04-09,1.0,0.857,12.0
Grendelbach_Effretikon_DamboneC,2017-05-08,2.0,2.5,35.0
Grendelbach_Effretikon_DamboneC,2017-06-12,3.0,1.286,18.0
Grendelbach_Effretikon_DamboneC,2017-07-03,4.0,0.714,10.0
Inn_Pradella_KohlT,2017-04-14,1.0,0.649,48.0
Inn_Pradella_KohlT,2017-05-23,2.0,0.054,4.0
Inn_Pradella_KohlT,2017-06-18,3.0,0.054,4.0
Inn_Pradella_KohlT,2017-07-20,4.0,0.297,22.0
Inn_Pradella_KohlT,2017-08-20,5.0,0.081,6.0
Inn_Pradella_KohlT,2017-09-15,6.0,0.027,2.0
Inn_Pradella_KohlT,2017-10-20,7.0,0.054,4.0
Inn_Pradella_KohlT,2017-11-12,8.0,,
Inn_Pradella_KohlT,2017-12-19,9.0,,
Inn_Pradella_KohlT,2018-02-16,11.0,0.0,0.0
jona_tann_nusslin,2017-04-03,1.0,1.333,16.0
jona_tann_nusslin,2017-05-12,2.0,2.167,26.0
jona_tann_nusslin,2017-06-25,3.0,4.0,48.0
jona_tann_nusslin,2017-07-15,4.0,3.167,38.0
jona_tann_nusslin,2017-08-22,5.0,5.417,65.0
jona_tann_nusslin,2017-09-30,6.0,2.417,29.0
jona_tann_nusslin,2017-10-29,7.0,0.5,6.0
jona_tann_nusslin,2017-11-30,8.0,1.583,19.0
jona_tann_nusslin,2017-12-31,9.0,1.333,16.0
jona_tann_nusslin,2018-01-31,10.0,1.5,18.0
jona_tann_nusslin,2018-02-22,11.0,0.667,8.0
katzenbach_zuerich_sanesim,2017-04-30,1.0,0.071,7.0
katzenbach_zuerich_sanesim,2017-05-25,2.0,0.091,9.0
katzenbach_zuerich_sanesim,2017-06-29,3.0,0.071,7.0
katzenbach_zuerich_sanesim,2017-07-18,4.0,0.172,17.0
katzenbach_zuerich_sanesim,2017-08-21,5.0,0.141,14.0
katzenbach_zuerich_sanesim,2017-09-28,6.0,0.152,15.0
katzenbach_zuerich_sanesim,2017-11-04,7.0,0.141,14.0
katzenbach_zuerich_sanesim,2017-11-29,8.0,0.152,15.0
katzenbach_zuerich_sanesim,2017-12-31,9.0,0.091,9.0
katzenbach_zuerich_sanesim,2018-01-24,10.0,0.02,2.0
katzenbach_zuerich_sanesim,2018-02-28,11.0,0.121,12.0
katzensee_regensdorfzuerichaffoltern_stueberj,2017-04-04,1.0,2.857,180.0
katzensee_regensdorfzuerichaffoltern_stueberj,2017-05-03,2.0,3.921,247.0
katzensee_regensdorfzuerichaffoltern_stueberj,2017-06-06,3.0,1.46,92.0
katzensee_regensdorfzuerichaffoltern_stueberj,2017-07-05,4.0,1.397,88.0
katzensee_regensdorfzuerichaffoltern_stueberj,2017-08-09,5.0,1.159,73.0
katzensee_regensdorfzuerichaffoltern_stueberj,2017-08-15,6.0,1.159,73.0
katzensee_regensdorfzuerichaffoltern_stueberj,2017-09-07,7.0,1.365,86.0
katzensee_regensdorfzuerichaffoltern_stueberj,2017-10-05,8.0,1.937,122.0
katzensee_regensdorfzuerichaffoltern_stueberj,2017-11-06,9.0,1.476,93.0
katzensee_regensdorfzuerichaffoltern_stueberj,2017-12-08,10.0,1.0,63.0
katzensee_regensdorfzuerichaffoltern_stueberj,2018-01-09,11.0,1.651,104.0
katzensee_regensdorfzuerichaffoltern_stueberj,2018-02-10,12.0,1.333,84.0
lacléman_gland_kubela,2017-05-25,1.0,13.857,97.0
lacléman_gland_kubela,2017-06-28,2.0,6.857,48.0
lacléman_gland_kubela,2017-07-25,3.0,6.286,44.0
lacléman_gland_kubela,2017-08-29,4.0,4.0,28.0
