,date,density,location_id,project_id,quantity,sample
202,2018-03-27,0.6667,Emme_Utzenstorf_Grüttert,SLR,6,8.0
203,2017-05-21,2.3333,glatt_oerlikon_covosN,SLR,14,1.0
204,2017-07-09,1.6667,glatt_oerlikon_covosN,SLR,10,2.0
205,2017-08-30,0.1667,glatt_oerlikon_covosN,SLR,1,3.0
206,2017-10-15,2.1667,glatt_oerlikon_covosN,SLR,13,4.0
207,2018-01-21,1.8333,glatt_oerlikon_covosN,SLR,11,5.0
208,2018-02-25,1.8333,glatt_oerlikon_covosN,SLR,11,6.0
209,2018-03-24,1.6667,glatt_oerlikon_covosN,SLR,10,7.0
210,2017-10-29,0.4211,goldach_goldach_schlachterj,SLR,8,1.0
211,2017-11-30,0.1579,goldach_goldach_schlachterj,SLR,3,2.0
212,2017-12-29,0.3158,goldach_goldach_schlachterj,SLR,6,3.0
213,2017-04-05,2.3684,greifensee_fällanden_meistery,SLR,135,1.0
214,2017-05-08,2.0175,greifensee_fällanden_meistery,SLR,115,2.0
215,2017-06-06,2.7368,greifensee_fällanden_meistery,SLR,156,3.0
216,2017-07-05,1.7018,greifensee_fällanden_meistery,SLR,97,4.0
217,2017-08-21,1.193,greifensee_fällanden_meistery,SLR,68,5.0
218,2017-04-29,1.6296,greifensee_fällanden_simmenc,SLR,220,1.0
219,2017-04-30,7.2075,greifensee_greifensee_simmenc,SLR,382,1.0
220,2017-05-30,37.9811,greifensee_greifensee_simmenc,SLR,2013,2.0
221,2017-06-29,15.1887,greifensee_greifensee_simmenc,SLR,805,3.0
222,2017-08-02,16.4906,greifensee_greifensee_simmenc,SLR,874,4.0
223,2017-10-05,7.3774,greifensee_greifensee_simmenc,SLR,391,5.0
224,2017-12-31,5.3208,greifensee_greifensee_simmenc,SLR,282,6.0
225,2018-01-31,6.6604,greifensee_greifensee_simmenc,SLR,353,7.0
226,2018-02-28,4.8491,greifensee_greifensee_simmenc,SLR,257,8.0
227,2018-03-31,4.9245,greifensee_greifensee_simmenc,SLR,261,9.0
228,2017-04-29,0.9302,greifensee_maur_simmenc,SLR,40,1.0
229,2017-05-31,3.6977,greifensee_maur_simmenc,SLR,159,2.0
230,2017-06-30,3.1395,greifensee_maur_simmenc,SLR,135,3.0
231,2017-04-21,2.08,greifensee_uster_fischerb_ 2,SLR,52,1.0
232,2017-05-28,2.4,greifensee_uster_fischerb_ 2,SLR,60,2.0
233,2017-06-19,3.44,greifensee_uster_fischerb_ 2,SLR,86,3.0
234,2017-07-24,6.04,greifensee_uster_fischerb_ 2,SLR,151,4.0
235,2017-08-30,0.56,greifensee_uster_fischerb_ 2,SLR,14,5.0
236,2017-09-25,1.28,greifensee_uster_fischerb_ 2,SLR,32,6.0
237,2017-10-19,0.84,greifensee_uster_fischerb_ 2,SLR,21,7.0
238,2018-03-31,0.64,greifensee_uster_fischerb_ 2,SLR,16,8.0
