location,date,length,quantity,density,code
Aare_bern_gerberm,2018-01-27,89,5,0.0562,G142
Aare_bern_gerberm,2018-01-27,89,14,0.1573,G144
Aare_bern_gerberm,2018-01-27,89,34,0.382,G145
Aare_bern_gerberm,2018-01-27,89,1,0.0112,G152
Aare_bern_gerberm,2018-01-27,89,1,0.0112,G154
Aare_bern_gerberm,2018-01-27,89,11,0.1236,G156
Aare_bern_gerberm,2018-01-27,89,1,0.0112,G165
Aare_bern_gerberm,2018-01-27,89,5,0.0562,G175
Aare_bern_gerberm,2018-01-27,89,2,0.0225,G177
Aare_bern_gerberm,2018-01-27,89,2,0.0225,G182
Aare_bern_gerberm,2018-01-27,89,1,0.0112,G191
Aare_bern_gerberm,2018-01-27,89,1,0.0112,G194
Aare_bern_gerberm,2018-01-27,89,3,0.0337,G198
Aare_bern_gerberm,2018-01-27,89,2,0.0225,G200
Aare_bern_gerberm,2018-01-27,89,17,0.191,G208
Aare_bern_gerberm,2018-03-31,89,6,0.0674,G3
Aare_bern_gerberm,2018-03-31,89,3,0.0337,G4
Aare_bern_gerberm,2018-03-31,89,1,0.0112,G10
Aare_bern_gerberm,2018-03-31,89,1,0.0112,G26
Aare_bern_gerberm,2018-03-31,89,3,0.0337,G27
Aare_bern_gerberm,2018-03-31,89,1,0.0112,G32
Aare_bern_gerberm,2018-03-31,89,1,0.0112,G35
Aare_bern_gerberm,2018-03-31,89,4,0.0449,G50
Aare_bern_gerberm,2018-03-31,89,1,0.0112,G59
Aare_bern_gerberm,2018-03-31,89,3,0.0337,G67
Aare_bern_gerberm,2018-03-31,89,6,0.0674,G79
Aare_bern_gerberm,2018-03-31,89,5,0.0562,G80
Aare_bern_gerberm,2018-03-31,89,2,0.0225,G89
Aare_bern_gerberm,2018-03-31,89,1,0.0112,G93
Aare_bern_gerberm,2018-03-31,89,7,0.0787,G96
Aare_bern_gerberm,2018-03-31,89,2,0.0225,G101
Aare_bern_gerberm,2018-03-31,89,3,0.0337,G124
Aare_bern_gerberm,2018-03-31,89,1,0.0112,G125
Aare_bern_gerberm,2018-03-31,89,1,0.0112,G131
Aare_bern_gerberm,2018-03-31,89,4,0.0449,G137
Aare_bern_gerberm,2018-03-31,89,2,0.0225,G142
Aare_bern_gerberm,2018-03-31,89,7,0.0787,G144
Aare_bern_gerberm,2018-03-31,89,35,0.3933,G145
Aare_bern_gerberm,2018-03-31,89,4,0.0449,G156
Aare_bern_gerberm,2018-03-31,89,1,0.0112,G177
Aare_bern_gerberm,2018-03-31,89,1,0.0112,G178
Aare_bern_gerberm,2018-03-31,89,3,0.0337,G191
Aare_bern_gerberm,2018-03-31,89,1,0.0112,G194
Aare_bern_gerberm,2018-03-31,89,6,0.0674,G198
Aare_bern_gerberm,2018-03-31,89,2,0.0225,G199
Aare_bern_gerberm,2018-03-31,89,9,0.1011,G208
aare_bern_scheurerk,2017-04-02,92,2,0.0217,G156
aare_bern_scheurerk,2017-07-09,92,1,0.0109,G10
aare_bern_scheurerk,2017-07-09,92,2,0.0217,G21
aare_bern_scheurerk,2017-07-09,92,36,0.3913,G27
aare_bern_scheurerk,2017-07-09,92,1,0.0109,G31
aare_bern_scheurerk,2017-07-09,92,2,0.0217,G34
aare_bern_scheurerk,2017-07-09,92,3,0.0326,G67
aare_bern_scheurerk,2017-07-09,92,4,0.0435,G79
aare_bern_scheurerk,2017-07-09,92,1,0.0109,G101
aare_bern_scheurerk,2017-07-09,92,1,0.0109,G124
aare_bern_scheurerk,2017-07-09,92,1,0.0109,G145
aare_bern_scheurerk,2017-07-09,92,9,0.0978,G156
aare_bern_scheurerk,2017-07-09,92,1,0.0109,G158
aare_bern_scheurerk,2017-07-09,92,7,0.0761,G177
aare_bern_scheurerk,2017-07-09,92,10,0.1087,G178
aare_bern_scheurerk,2017-07-09,92,1,0.0109,G198
aare_bern_scheurerk,2017-09-15,92,3,0.0326,G27
aare_bern_scheurerk,2017-09-15,92,1,0.0109,G32
aare_bern_scheurerk,2017-09-15,92,1,0.0109,G49
aare_bern_scheurerk,2017-09-15,92,2,0.0217,G66
aare_bern_scheurerk,2017-09-15,92,1,0.0109,G67
aare_bern_scheurerk,2017-09-15,92,2,0.0217,G71
aare_bern_scheurerk,2017-09-15,92,2,0.0217,G79
aare_bern_scheurerk,2017-09-15,92,1,0.0109,G101
aare_bern_scheurerk,2017-09-15,92,1,0.0109,G124
aare_bern_scheurerk,2017-09-15,92,1,0.0109,G142
aare_bern_scheurerk,2017-09-15,92,2,0.0217,G156
aare_bern_scheurerk,2017-09-15,92,1,0.0109,G177
aare_bern_scheurerk,2017-09-15,92,1,0.0109,G178
aare_bern_scheurerk,2017-09-15,92,3,0.0326,G199
aare_bern_scheurerk,2017-09-15,92,2,0.0217,G204
aare_bern_scheurerk,2017-09-15,92,2,0.0217,G208
aare_bern_scheurerk,2017-10-21,92,1,0.0109,G25
aare_bern_scheurerk,2017-10-21,92,1,0.0109,G27
aare_bern_scheurerk,2017-10-21,92,1,0.0109,G67
aare_bern_scheurerk,2017-10-21,92,3,0.0326,G71
aare_bern_scheurerk,2017-10-21,92,1,0.0109,G101
aare_bern_scheurerk,2017-10-21,92,1,0.0109,G124
aare_bern_scheurerk,2017-10-21,92,1,0.0109,G137
aare_bern_scheurerk,2017-10-21,92,4,0.0435,G156
aare_bern_scheurerk,2017-11-16,92,1,0.0109,G67
aare_bern_scheurerk,2017-11-16,92,2,0.0217,G79
aare_bern_scheurerk,2017-11-16,92,15,0.163,G96
aare_bern_scheurerk,2017-11-16,92,1,0.0109,G124
aare_bern_scheurerk,2017-11-16,92,1,0.0109,G125
aare_bern_scheurerk,2017-11-16,92,4,0.0435,G154
aare_bern_scheurerk,2017-11-16,92,1,0.0109,G177
