location,date,sample,density,quantity
greifensee_greifensee_simmenc,2017-05-30,2,37.981,2013
greifensee_greifensee_simmenc,2017-06-29,3,15.189,805
greifensee_greifensee_simmenc,2017-08-02,4,16.491,874
greifensee_greifensee_simmenc,2017-10-05,5,7.377,391
greifensee_greifensee_simmenc,2017-12-31,6,5.321,282
greifensee_greifensee_simmenc,2018-01-31,7,6.66,353
greifensee_greifensee_simmenc,2018-02-28,8,4.849,257
greifensee_greifensee_simmenc,2018-03-31,9,4.925,261
greifensee_maur_simmenc,2017-04-29,1,0.93,40
greifensee_maur_simmenc,2017-05-31,2,3.698,159
greifensee_maur_simmenc,2017-06-30,3,3.14,135
greifensee_uster_fischerb_ 2,2017-04-21,1,2.08,52
greifensee_uster_fischerb_ 2,2017-05-28,2,2.4,60
greifensee_uster_fischerb_ 2,2017-06-19,3,3.44,86
greifensee_uster_fischerb_ 2,2017-07-24,4,6.04,151
greifensee_uster_fischerb_ 2,2017-08-30,5,0.56,14
greifensee_uster_fischerb_ 2,2017-09-25,6,1.28,32
greifensee_uster_fischerb_ 2,2017-10-19,7,0.84,21
greifensee_uster_fischerb_ 2,2018-03-31,8,0.64,16
greifensee_uster_fischerb_1,2017-04-21,1,1.806,65
greifensee_uster_fischerb_1,2017-05-28,2,1.056,38
greifensee_uster_fischerb_1,2017-06-19,3,3.083,111
greifensee_uster_fischerb_1,2017-07-24,4,7.083,255
greifensee_uster_fischerb_1,2017-08-30,5,1.139,41
greifensee_uster_fischerb_1,2017-09-25,6,0.25,9
greifensee_uster_fischerb_1,2017-10-19,7,0.806,29
greifensee_uster_fischerb_1,2018-03-31,8,1.611,58
Inn_Pradella_KohlT,2017-04-14,1,0.649,48
Inn_Pradella_KohlT,2017-05-23,2,0.054,4
Inn_Pradella_KohlT,2017-06-18,3,0.054,4
Inn_Pradella_KohlT,2017-07-20,4,0.297,22
Inn_Pradella_KohlT,2017-08-20,5,0.081,6
Inn_Pradella_KohlT,2017-09-15,6,0.027,2
Inn_Pradella_KohlT,2017-10-20,7,0.054,4
Inn_Pradella_KohlT,2017-11-12,8,0.0,0
jona_tann_nusslin,2017-04-03,1,1.333,16
jona_tann_nusslin,2017-05-12,2,2.167,26
jona_tann_nusslin,2017-06-25,3,4.0,48
jona_tann_nusslin,2017-07-15,4,3.167,38
jona_tann_nusslin,2017-08-22,5,5.417,65
jona_tann_nusslin,2017-09-30,6,2.417,29
jona_tann_nusslin,2017-10-29,7,0.5,6
jona_tann_nusslin,2017-11-30,8,1.583,19
jona_tann_nusslin,2017-12-31,9,1.333,16
jona_tann_nusslin,2018-01-31,10,1.5,18
jona_tann_nusslin,2018-02-22,11,0.667,8
jona_tann_nusslin,2018-03-22,12,0.583,7
katzenbach_zuerich_sanesim,2017-04-30,1,0.071,7
katzenbach_zuerich_sanesim,2017-05-25,2,0.091,9
katzenbach_zuerich_sanesim,2017-06-29,3,0.071,7
katzenbach_zuerich_sanesim,2017-07-18,4,0.172,17
katzenbach_zuerich_sanesim,2017-08-21,5,0.141,14
katzenbach_zuerich_sanesim,2017-09-28,6,0.152,15
katzenbach_zuerich_sanesim,2017-10-31,7,0.141,14
katzenbach_zuerich_sanesim,2017-11-29,8,0.152,15
katzenbach_zuerich_sanesim,2017-12-31,9,0.091,9
katzenbach_zuerich_sanesim,2018-01-24,10,0.02,2
katzenbach_zuerich_sanesim,2018-02-28,11,0.121,12
katzenbach_zuerich_sanesim,2018-03-24,12,0.081,8
katzensee_regensdorfzuerichaffoltern_stueberj,2017-04-04,1,2.857,180
katzensee_regensdorfzuerichaffoltern_stueberj,2017-05-03,2,3.921,247
katzensee_regensdorfzuerichaffoltern_stueberj,2017-06-06,3,1.46,92
katzensee_regensdorfzuerichaffoltern_stueberj,2017-07-05,4,1.397,88
katzensee_regensdorfzuerichaffoltern_stueberj,2017-08-15,5,1.159,73
katzensee_regensdorfzuerichaffoltern_stueberj,2017-09-07,6,1.365,86
katzensee_regensdorfzuerichaffoltern_stueberj,2017-10-05,7,1.937,122
katzensee_regensdorfzuerichaffoltern_stueberj,2017-11-06,8,1.476,93
katzensee_regensdorfzuerichaffoltern_stueberj,2017-12-08,9,1.0,63
katzensee_regensdorfzuerichaffoltern_stueberj,2018-01-09,10,1.651,104
katzensee_regensdorfzuerichaffoltern_stueberj,2018-02-10,11,1.333,84
katzensee_regensdorfzuerichaffoltern_stueberj,2018-03-08,12,1.444,91
lacléman_gland_kubela,2017-05-25,1,13.857,97
lacléman_gland_kubela,2017-06-28,2,6.857,48
lacléman_gland_kubela,2017-07-25,3,6.286,44
lacléman_gland_kubela,2017-08-29,4,4.0,28
lacléman_gland_kubela,2017-09-28,5,5.857,41
lacléman_gland_kubela,2017-10-26,6,1.0,7
lacléman_gland_kubela,2017-11-28,7,5.286,37
lacléman_gland_kubela,2017-12-16,8,2.714,19
lacléman_gland_kubela,2018-01-19,9,3.429,24
lacléman_gland_kubela,2018-02-19,10,0.714,5
lacléman_gland_kubela,2018-03-18,11,32.0,224
Lacléman_Gland_LecoanetS,2017-07-11,1,0.576,49
Lacléman_Gland_LecoanetS,2017-08-07,2,1.282,109
Lacléman_Gland_LecoanetS,2017-09-12,3,0.776,66
Lacléman_Gland_LecoanetS,2017-10-10,4,0.812,69
Lacléman_Gland_LecoanetS,2017-11-17,5,1.024,87
Lacléman_Gland_LecoanetS,2017-12-16,6,0.318,27
Lacléman_Gland_LecoanetS,2018-01-19,7,0.247,21
Lacléman_Gland_LecoanetS,2018-02-19,8,0.118,10
Lacléman_Gland_LecoanetS,2018-03-18,9,3.976,338
lacléman_vidy_santie,2017-04-30,1,11.741,317
lacléman_vidy_santie,2017-05-23,2,18.593,502
lacléman_vidy_santie,2017-06-16,3,13.704,370
lacléman_vidy_santie,2017-07-21,4,8.556,231
lacléman_vidy_santie,2017-08-25,5,10.074,272
lacléman_vidy_santie,2017-09-26,6,6.222,168
lacléman_vidy_santie,2017-10-24,7,4.0,108
lacléman_vidy_santie,2017-11-17,8,2.889,78
lacléman_vidy_santie,2017-12-26,9,3.333,90
lacléman_vidy_santie,2018-01-23,10,6.481,175
lacléman_vidy_santie,2018-02-26,11,7.667,207
lacléman_vidy_santie,2018-03-26,12,9.222,249
langete_langenthal_geiserm,2017-04-24,1,4.357,61
langete_langenthal_geiserm,2017-05-24,2,1.929,27
langete_langenthal_geiserm,2017-06-22,3,2.0,28
langete_langenthal_geiserm,2017-07-24,4,2.857,40
langete_langenthal_geiserm,2017-08-21,5,2.071,29
langete_langenthal_geiserm,2017-09-21,6,1.214,17
langete_langenthal_geiserm,2017-10-25,7,0.857,12
langete_langenthal_geiserm,2017-11-22,8,1.571,22
